
The following have been reloaded with a version change:
  1) gcc/14.2.0 => gcc/12.4.0
  sub-172 ses-01 run-EA1894S2: loading...
  sub-172 ses-01 run-EA1894S3: loading...
  sub-172 ses-01 run-EA1894S4: loading...
  sub-172 ses-01 run-EA1894S5: loading...
  sub-172 ses-01 run-EA1894S6: loading...
  sub-172 ses-01 run-EA1894S7: loading...
  sub-172 ses-01 run-EA1894S8: loading...
  sub-172 ses-01 run-EA1894S9: loading...
  sub-172 ses-01 run-EA1894SA: loading...
  sub-172 ses-01 run-EA1894SB: loading...
  sub-172 ses-01 run-EA1894SC: loading...
  sub-172 ses-01 run-EA1894SD: loading...
  sub-172 ses-01 run-EA1894SE: loading...
  sub-172 ses-01 run-EA1894SF: loading...
  sub-172 ses-01 run-EA1894SG: loading...
  sub-172 ses-01 run-EA1894SH: loading...
  sub-172 ses-01 run-EA1894SI: loading...
  sub-172 ses-01 run-EA1894SJ: loading...
  sub-172 ses-01 run-EA1894SK: loading...
  sub-172 ses-01 run-EA1894SL: loading...
  sub-172 ses-01 run-EA1894SM: loading...
  sub-172 ses-01 run-EA1894SN: loading...
  sub-172 ses-01 run-EA1894SO: loading...
  sub-172 ses-01 run-EA1894SP: loading...
  sub-172 ses-01 run-EA1894SQ: loading...
  sub-172 ses-01 run-EA1894SR: loading...
  sub-172 ses-01 run-EA1894SS: loading...
  sub-172 ses-01 run-EA1894ST: loading...
  sub-172 ses-01 run-EA1894SU: loading...
  sub-172 ses-01 run-EA1894SV: loading...
  sub-172 ses-01 run-EA1894SW: loading...
  sub-172 ses-01 run-EA1894SX: loading...
  sub-172 ses-01 run-EA1894SY: loading...
  sub-172 ses-01 run-EA1894SZ: loading...
  sub-172 ses-01 run-EA1894T0: loading...
  sub-172 ses-01 run-EA1894T1: loading...
  sub-172 ses-01 run-EA1894T2: loading...
  sub-172 ses-01 run-EA1894T3: loading...
  sub-172 ses-01 run-EA1894T4: loading...
  sub-172 ses-01 run-EA1894T5: loading...
  sub-172 ses-01 run-EA1894T6: loading...
  sub-172 ses-01 run-EA1894T7: loading...
  sub-172 ses-01 run-EA1894T8: loading...
  sub-172 ses-01 run-EA1894T9: loading...
  sub-172 ses-01 run-EA1894TA: loading...
  sub-172 ses-01 run-EA1894TB: loading...
  sub-172 ses-01 run-EA1894TC: loading...
  sub-172 ses-01 run-EA1894TD: loading...
  sub-172 ses-01 run-EA1894TE: loading...
  sub-172 ses-01 run-EA1894TF: loading...
  sub-172 ses-01 run-EA1894TG: loading...
  sub-172 ses-01 run-EA1894TH: loading...
  sub-172 ses-01 run-EA1894TI: loading...
  sub-172 ses-01 run-EA1894TJ: loading...
  sub-172 ses-01 run-EA1894TK: loading...
  sub-172 ses-01 run-EA1894TL: loading...
  sub-172 ses-01 run-EA1894TM: loading...
  sub-172 ses-01 run-EA1894TN: loading...
  sub-172 ses-01 run-EA1894TO: loading...
  sub-172 ses-01 run-EA1894TP: loading...
  sub-172 ses-01 run-EA1894TQ: loading...
  sub-172 ses-01 run-EA1894TR: loading...
  sub-172 ses-01 run-EA1894TS: loading...
  sub-172 ses-01 run-EA1894TT: loading...
  sub-172 ses-01 run-EA1894TU: loading...
  sub-172 ses-01 run-EA1894TV: loading...
  sub-172 ses-01 run-EA1894TW: loading...
  sub-172 ses-01 run-EA1894TX: loading...
  sub-172 ses-01 run-EA1894TY: loading...
  sub-172 ses-01 run-EA1894TZ: loading...
  sub-172 ses-01 run-EA1894U0: loading...
  sub-172 ses-01 run-EA1894U1: loading...
  sub-172 ses-01 run-EA1894U2: loading...
  sub-172 ses-01 run-EA1894U3: loading...
  sub-172 ses-01 run-EA1894U4: loading...
  sub-172 ses-01 run-EA1894U5: loading...
  sub-172 ses-01 run-EA1894U6: loading...
  sub-172 ses-01 run-EA1894U7: loading...
  sub-172 ses-01 run-EA1894U8: loading...
  sub-172 ses-01 run-EA1894U9: loading...
  sub-172 ses-01 run-EA1894UA: loading...
  sub-172 ses-01 run-EA1894UB: loading...
  sub-172 ses-01 run-EA1894UC: loading...
  sub-172 ses-01 run-EA1894UD: loading...
  sub-172 ses-01 run-EA1894UE: loading...
  sub-172 ses-01 run-EA1894UF: loading...
  sub-172 ses-01 run-EA1894UG: loading...
  sub-172 ses-01 run-EA1894UH: loading...
  sub-172 ses-01 run-EA1894UI: loading...
  sub-172 ses-01 run-EA1894UJ: loading...
  sub-172 ses-01 run-EA1894UK: loading...
  sub-172 ses-01 run-EA1894UL: loading...
  sub-172 ses-01 run-EA1894UM: loading...
  sub-172 ses-01 run-EA1894UN: loading...
  sub-172 ses-01 run-EA1894UO: loading...
  sub-172 ses-01 run-EA1894UP: loading...
  sub-172 ses-01 run-EA1894UQ: loading...
  sub-172 ses-01 run-EA1894UR: loading...
  sub-172 ses-01 run-EA1894US: loading...
  sub-172 ses-01 run-EA1894UT: loading...
  sub-172 ses-01 run-EA1894UU: loading...
  sub-172 ses-01 run-EA1894UV: loading...
  sub-172 ses-01 run-EA1894UW: loading...
  sub-172 ses-01 run-EA1894UX: loading...
  sub-172 ses-01 run-EA1894UY: loading...
  sub-172 ses-01 run-EA1894UZ: loading...
  sub-172 ses-01 run-EA1894V0: loading...
  sub-172 ses-01 run-EA1894V1: loading...
  sub-172 ses-01 run-EA1894V2: loading...
  sub-172 ses-01 run-EA1894V3: loading...
  sub-172 ses-01 run-EA1894V4: loading...
  sub-172 ses-01 run-EA1894V5: loading...
  sub-172 ses-01 run-EA1894V6: loading...
  sub-172 ses-01 run-EA1894V7: loading...
  sub-172 ses-01 run-EA1894V8: loading...
  sub-172 ses-01 run-EA1894V9: loading...
  sub-172 ses-01 run-EA1894VA: loading...
  WARNING: failed to read /oak/stanford/groups/ckeller1/data/iEEG_EHR/iEEG_NWB/sub-172/ses-01/ieeg/sub-172_ses-01_run-EA1894VA.nwb (OSError("Can't synchronously read data (filter returned failure during read)")); skipping this run.
  sub-172 ses-01 run-EA1894VB: loading...
  sub-172 ses-01 run-EA1894VC: loading...
  sub-172 ses-01 run-EA1894VD: loading...
  WARNING: failed to read /oak/stanford/groups/ckeller1/data/iEEG_EHR/iEEG_NWB/sub-172/ses-01/ieeg/sub-172_ses-01_run-EA1894VD.nwb (OSError("Can't synchronously read data (filter returned failure during read)")); skipping this run.
  sub-172 ses-01 run-EA1894VE: loading...
  sub-172 ses-01 run-EA1894VF: loading...
  sub-172 ses-01 run-EA1894VG: loading...
  sub-172 ses-01 run-EA1894VH: loading...
  sub-172 ses-01 run-EA1894VI: loading...
  sub-172 ses-01 run-EA1894VJ: loading...
  sub-172 ses-01 run-EA1894VK: loading...
  sub-172 ses-01 run-EA1894VL: loading...
  sub-172 ses-01 run-EA1894VM: loading...
  sub-172 ses-01 run-EA1894VN: loading...
  sub-172 ses-01 run-EA1894VO: loading...
  sub-172 ses-01 run-EA1894VP: loading...
  sub-172 ses-01 run-EA1894VQ: loading...
  sub-172 ses-01 run-EA1894VR: loading...
  Wrote /oak/stanford/groups/ckeller1/data/iEEG_EHR/derivatives/sisler/analysis/qc/per_window/sub-172_saturation.csv (64251762 rows)
  Wrote /oak/stanford/groups/ckeller1/data/iEEG_EHR/derivatives/sisler/analysis/qc/per_window/sub-172_flatline.csv (64251762 rows)
  Wrote /oak/stanford/groups/ckeller1/data/iEEG_EHR/derivatives/sisler/analysis/qc/per_window/sub-172_gross_artifact.csv (2141592 rows)
